Grootteorde anomalie(ën);Anomalie(ën) gedetecteerd;Holte (m);Opgeruimd door firma;Opgeruimd tot op;Code;Bouwjaar;Afgedregde diepte (m);Afgedregd op;Easting;Northing;Wrak Type;Gevonden door;Gevonden op;Tonnenmaat bruto;Kroniek;Lengte (m);Breedte (m);Naam bevestigd;Beschermd als War Grave (GB);Materiaal;Diepte ondiepste punt (m, t.o.v. LAT);Recentste magnetometriemeting op;Recentste multibeammeting absolute hoogte (m);Recentste multibeammeting strekking (°);Recentste multibeammeting op;Recentste multibeammeting lengte (m);Recentste multibeammeting coördinaten ondiepste punt (lat-long);Recentste multibeammeting ondiepste punt (m, tov LAT);Recentste multibeammeting min. diepte omringende bodem (m, tov LAT);Recentste multibeammeting breedte (m);Recentste Berichten aan Zeevarenden;Recentste side scan sonarmeting strekking (°);Recentste side scan sonarmeting op;Recentste side scan sonarmeting lengte (m);Recentste side scan sonarmeting breedte (m);Recentste multibeammeting;Naam;Vlaggenstaat;Oude benamingen;Eigenaar;Beschermd als cultureel erfgoed onder water;Toestand;Geborgen op;Werf;Teken op kaart;Staat;Gezonken tijdens oorlogsdienst;Gezonken op;Type;Heeft Historische Beelden;Heeft Sounding Beelden;Heeft Pointcloud;
;;2.8;;;BE-118-243-01;1935.0;16.3;31/07/1990;480621.0;5684108.0;Wrak;;;1162.0;"De Queen of the Channel was het eerste schroefgedreven vaartuig dat de taak van de raderschepen als excursievaartuig over het kanaal begon over te nemen. Het vaarde bovendien op diesel in plaats van kolen. 
Het was een redelijk luxueus schip, met ingesloten promenadedek en witgeschilderde romp. 
Bij het uitbreken van de oorlog werd de Queen of the Channel gebruikt om zowel kinderen als soldaten te vervoeren. 
Het was één van de schepen dat ingezet werd om te helpen bij de evacuatie van troepen uit Duinkerke op 27 mei 1940. Om 2u25, in de morgen van 28 mei, begon het schip de terugtocht met 950 manschappen aan boord. Zij werden allen bevolen zich benedendeks te houden. 
Ter hoogte van de Kwintebank, het is nu omstreeks 4u15, werd het vaartuig aangevallen door een Duitse duikbommenwerper. Het schip werd niet rechtstreeks geraakt, maar door de schokgolf onder water werd het uit het water getild en brak achter de hoofdmast, waardoor het achterdek dieper in het water lag. De opvarenden begaven zich via de overblijvende sloepen naar het voordek, in een poging om het achterdek hoger te krijgen, maar de pompen konden de strijd met het binnenstromende water niet aan.
SS Dorrien Rose merkte de Queen of the Channel op, en kon boeg aan boeg komen liggen. Alle soldaten, gewonden, en uitrusting konden worden overgebracht in slechts 35 minuten. Vlak hierna verging Queen of the Channel. ";83.0;11.0;Ja;Neen;Staal;16.8;;3.6;76.2;02/05/2024;80.6;480619  5684105;16.8;20.3;19.7;1990 / 16-109;;;;;;MV QUEEN OF THE CHANNEL;Verenigd Koninkrijk;;New Medway Steam Packet Co., GB;;"De Queen of the Channel kon in 1986 geïdentifeerd worden door de naam op de boeg. 
Het dekniveau bevindt zich op bijna gelijke hoogte met de zeebodem. Vooral het achterschip is verzand.";;Denny W. & Bros. Ltd., Dumbarton, UK;15,9 Wk_;Intact, deels verzand;WO II;28/05/1940;Stoomschip;;;;
;;13.2;Ackermans & Van Haaren;;BE-121-302-01;1943.0;;;502421.7;5689427.0;Wrak;;;7176.0;"Het Amerikaanse Liberty-schip Francis Ashbury was onderweg van New York naar Antwerpen toen het, ongeveer 8 mijl ten noordoosten van Oostende, op een mijn liep.
Tien bemanningsleden en zeven man legerpersoneel kwamen hierbij om.";128.0;17.2;Ja;Neen;Staal;8.6;;;;06/03/2024;;;8.6;8.9;;1963 / 26-224;;;;;;SS FRANCIS ASBURY;Verenigde Staten;;US Maritime Commission - War Shipping Administration (WSA), Washington, US;;"In maart 1953 werk het wrak verkocht aan de Gentse bergingsfirma Hydraulica. Zij voerden bergingswerken uit waarbei verscheiden bulldozers en tractoren uit de voorste ruimen werden geborgen. In het achterste ruim vonden ze legermateriaal en munitie.
In 1963 werd het wrak verder opgeruimd door Ackermans & Van Haaren uit Antwerpen.";22/05/1963;St. John's River Shipbuilding, Jacksonville, US;#;Geborgen;WO II;12/03/1944;Vrachtschip;;;;
;;3.0;;;BE-113-244-01;1940.0;3.0;05/11/1992;481726.4;5674405.9;Wrak;;;499.0;"Op 10 oktober 1942, om 20u, verliet Sperrbrecher 143 zijn thuishaven Oostende richting Boulogne. Het bevond zich in konvooi met Sperrbrecher 141, V-1813, M-3617 en M-3619. Ter hoogte van de Balandbank raakte Sperrbrecher 143 een mijn ter hoogte van het achterschip. Ondanks de aangerichte schade bleef het schip min of meer drijven. 
M-3617 nam het schip op sleeptouw om deze uit het vaarwater te trekken en te doen stranden op een zandbank. Eens Sperrbrecher 143 dieper in het water zakte maakte het slagzij over stuurboord, en de sleeptros brak door de zware zeegang. Even nadien kenterde en verging Sperrbrecher 143.
Er vielen geen slachtoffers. ";51.3;8.4;Ja;Neen;Staal;4.7;;2.0;77.8;19/02/2025;22.0;481732   5674409;3.3;5.3;7.3;1996 / 17-129;;;;;;sperrbrecher 143;Duitsland;MS LOLA, NS III;Kriegsmarine, DE;;;;E.J. Smit & Zoon, Westerbroek, NL;2,9 Wk_;Intact, deels verzand;WO II;10/10/1942;Mijnenveger;;;;
;;;;;BE-122-308-01;1920.0;;;510019.0;5691446.0;Wrak;;;1562.0;"De O.18 had op 21 mei 1932 zijn thuishaven verlaten om te gaan vissen in het Wandelaargebied. Alles verliep normaal tot omstreeks 17uur werd teruggevaren. 
Er deed zich in de machinekamer een zware ontploffing voor en het schip begon onmiddellijk te zinken. 
De 3 opvarenden konden overspringen op de O.17. ";;;Ja;Neen;Hout;9.2;;1.2;130.0;15/06/2023;18.2;"510019; 5691445";9.2;10.4;8.9;1999 / 22-153;;;;;;O.18 LUCIA;België;;Gustaaf Sys, Oostende, BE;;"Na het bergen van visserschip Lientje op dezelfde locatie werden de oudere resten van de O.18 Lucia gevonden.
Deze resten zijn bijna volledig begraven.";;;#;Enkele fragmenten;Neen;21/05/1932;Vissersboot;;;;
;;3.5;;;BE-123-244-01;1906.0;19.1;25/06/1988;481806.3;5694192.9;Wrak;;;232.0;"De Boscobel verging, om onbekende reden, toen het onderweg was naar de sloperij.
Het had het grootste deel van zijn leven ingestaan voor de visserij. ";38.3;6.7;Ja;Neen;Staal;20.1;;;18.1;06/11/2020;40.7;"481812.53; 5694209.76";20.1;;7.0;1997 / 05-069;;;;;;SS BOSCOBEL;Verenigd Koninkrijk;FV BOSCOBEL (FD 70);J.W. Johnstone, Aberdeen, UK;;"Het wrak bevind zich rechtop, zonder zichtbare beschadigingen aan de romp.
Wel ontbreekt de bovenbouw. ";;"John Duthie & Sons Torry Shipbuilding Co. Ltd;, Aberdeen, UK";19,0 Wk_;Intact;Neen;31/05/1937;Vissersboot;1.0;1.0;1.0;
;;;;;BE-121-227-01;;;;462226.0;5689061.0;Wrak;Libertas;10/05/2015;;;;;Neen;Neen;;26.9;;;47.9;10/05/2015;7.9;;26.9;;4.5;;;;;;;onbekend;;;;;;;;#;;;;;0.0;0.0;1.0;
;;2.4;;;BE-113-237-01;1908.0;;;474048.1;5673997.3;Wrak;;12/03/1996;344.0;Branlebas bevond zich, samen met torpedoboot Obusier, op patrouille ter hoogte van de Nieuwpoortbank. Rond 0u30 op 29 september 1915 deed er zich een zware ontploffing voor onder het achterschip van Branlebas. Eén van de schroeven had een mijn geraakt. Branlebas scheurde onmiddellijk in twee en was niet meer te redden. De meeste bemanningsleden konden gered worden door de Obusier. ;58.0;6.6;Ja;Neen;Staal;9.5;;0.6;322.6;14/02/2025;28.0;474057   5673986;8.4;9.0;2.4;1996 / 07-082;;;;;;BRANLEBAS;Frankrijk;nvt;Marine Nationale, FR;Cultureel erfgoed onder beschermingsmaatregelen;3 grote stukken;;Chantiers Augustin Normand, Le Havre, FR;6,9 Wk;Enkele fragmenten;WO I;29/09/1915;Torpedoboot;;;;
;;1.7;;;BE-124-230-01;1944.0;27.6;19/05/1989;465440.8;5695708.9;Wrak;;;925.0;"Op 22 december 1944 werd een mijnenlegoperatie uitgevoerd tussen Westhinder en Akkaert. 
Aan deze operatie deden 18 Schnellboote mee. Ze slaagden erin om ongezien 58 LMB- en 15 UMB-mijnen te leggen vooraleer de Britten hen spotten.
Het vuur werd geopend en de Schnellboote verspreiden zich. 
Rond 21u30 werd de S-185 ontdekt en onder vuur genomen. Geheime scheepsdocumenten werden overboord gegooid en de bemanning verliet het schip op twee vlotten vooraleer de zwaargehavende S-185 te doen zinken met behulp van springladingen.";34.9;5.3;Ja;Neen;Hout en aluminium;29.6;;1.4;348.1;03/04/2017;34.5;;29.6;31.0;6.4;1997 / 05-069;;;;;;schnellboot S-185 - voorschip;Duitsland;nvt;Kriegsmarine, DE;;Het wrak heeft zwaar te verduren door onder andere de sleepnetvisserij waardoor de herkenbare scheepsstructuur kapot getrokken werd.;;Fr. Lürssen Werft, Bremen-Vegesack, DE;29,0 Wk_;Gebroken;WO II;22/12/1944;Torpedoboot - snelle aanval;0.0;1.0;0.0;
;;;;;BE-124-306-01;;5.5;;507627.0;5695677.0;Wrak;;;;;;;Neen;Neen;;7.8;;;53.1;20/05/2022;29.6;"507633; 5695681";7.8;;10.1;1997 / 05-069;;;;;;onbekend;;;;Cultureel erfgoed onder beschermingsmaatregelen;;;;7,8 Wk;Intact, deels verzand;;;Duikboot;;;;
;;;;;BE-116-241-02;1945.0;;;478296.0;5680917.0;Wrak;;;3285.0;"O.818 was op 15 februari 1970 garnaal aan het vissen, toen rond 13uur de motor stil viel. Dit was het gevolg van binnenstromend water, dat op dat moment reeds 1 meter hoog stond in de machinekamer.
Het schip werd op sleep genomen maar verging om 16u50. ";;;Ja;Neen;Hout;17.9;;0.9;328.0;25/08/2022;4.6;"478296; 5680915";17.9;18.7;2.7;1995 / 08-091;;;;;;O.818 LUCIE-JENNY II;België;N.818 JULIENNE;Raphaël Beyen, Oostende, BE;;;;P. Vinck, Boom, BE;14,9 Wk;Intact, deels verzand;Neen;15/02/1970;Vissersboot;1.0;1.0;1.0;
;;1.7;Tijdelijke Vereniging van Bergingswerken;bodem;BE-116-252-02;1944.0;5.5;;491135.8;5680766.1;Wrak;;;925.0;"Schnellboot S-220 had de opdracht samen met 3 ander schnellboote mijnen te leggen voor de Vlaamse Kust. In de nacht van 28 februari op 1 maart 1945 werden ze, op  de terugweg naar de haven van Rotterdam, opgemerkt door het Britse fregat HMS Seymour en destroyer HMS Cotswold. Deze openden het vuur. 
De schnellboote trachten te ontsnappen door aan volle snelheid te varen. 
Om 23u05 echter, werd S-220 aan stuurboordzijde geraakt ter hoogte van de machinekamer. Deze verloor snelheid en werd ingehaald door de Britten, maar kon nog even ontsnappen door zigzaggend te varen.
Rond 23u20 werd de S-220 opnieuw onder vuur genomen. Hierna beslisten de Duitsers zich over te geven, en en boot op te blazen.
De bemanning verliet de brandende S-220 en werden later door de Britten uit het water gehaald. Om 23u50 deed een zware ontploffing de schnellboot zinken. ";34.9;5.3;Ja;Neen;Hout en aluminium;8.0;;;;20/03/2024;35.0;;8.0;8.9;;1990 / 24-140;;;;;;schnellboot S-220;Duitsland;nvt;Kriegsmarine, DE;;Niets meer te zien;01/01/1989;Schlichting Werft, Trvemünde, DE;#;Geborgen;WO II;01/03/1945;Torpedoboot - snelle aanval;;;;
;;6.5;;;BE-134-252-01;1937.0;22.6;21/04/1993;491365.8;5713264.5;Wrak;;;695.0;"Op 2 maart 1940 verliet de MV Rijnstroom de Downs richting Nederland, maar is daar nooit aangekomen. 
Er werd niets meer vernomen van het schip of de 12 opvarenden.
Korte tijd later werden een gekapseise reddingsboot, reddingsboeien, dekplanken en onderdelen van de lading van de Rijnstroom opgemerkt ter hoogte van het lichtschip Westhinder. 
Pas na de oorlog kwam men te weten dat de U-17 de Rijnstroom tot zinken had gebracht met één enkele torpedo. Drie dagen later zou diezelfde U-17 ook de SS Grutto torpederen.";75.0;10.7;Ja;Neen;Staal;28.0;;;122.8;12/03/2007;60.0;;30.3;;16.7;1997 / 09-097;;;;;;MV RIJNSTROOM;Nederland;nvt;Hollandsche Stoomboot Maatschappij, Amsterdam, NL;;Het wrak bestaat uit één geheel maar is overwegend onherkenbaar als schip.;;C. Van der Giessen & Zonen, Scheepswerf De Hoop, Krimpen Aan den Ijssel, NL;22,5 Wk_;Plat maar samenhangend op zeebodem;Neen;02/03/1940;Vrachtschip;1.0;0.0;0.0;
;;;;;BE-114-230-01;1731.0;;;465373.0;5676661.0;Wrak;;;850.0;"Twijfels bij de identificatie door de locatie. De Bethlehem is vergaan nabij de Scheldemonding, voor Oostende. Ook is er op geen enkel voorwerp een eigendomsmerk van de VOC gevonden.
Wel klopt de datering, en betreft het een hoofdzakelijk Nederlandse lading.";44.2;;Neen;Neen;Hout;6.4;;;142.0;14/03/2022;3.5;"465372; 5676662";6.4;;2.1;1998 / 06-076;;;;;;BETHLEHEM;Nederland;"""Buitenratelwrak""";Verenigde Oostindische Compagnie (VOC);Cultureel erfgoed onder beschermingsmaatregelen;Er is niet veel meer te herkennen van een scheepsstructuur. Het grootste deel van het wrak bestaat voornamelijk uit de lading.;;VOC-werf, Amsterdam, NL;6,4 Wk;Enkele fragmenten;Neen;29/12/1741;Spiegelretourschip;;;;
;;2.5;;;BE-123-303-03;1966.0;;;503522.7;5693390.0;Wrak;;;50.0;"Op 11 september 1997 is het vissersschip N.12 Arthur vastgeslagen op de wrakresten van de SS Samsip. 
Hierbij werd na een poging om het schip los te maken averij opgelopen. Na anderhalf uur is het schip gezonken, nagenoeg bovenop de Samsip. 
Alle bemanningsleden werden gered.";20.8;5.5;Ja;Neen;Staal;8.1;;2.9;;12/01/1998;;;8.1;11.0;;1998 / 03-059;;;;;;N.12 ARTHUR;België;Z.12 SABRINA;Ronny Vanhoutte, Nieuwpoort, BE;;;;;4.7 Wk;Enkele fragmenten;Neen;11/09/1997;Vissersboot;1.0;0.0;0.0;
;;2.0;;;BE-117-253-02;1887.0;6.0;20/06/2020;492284.2;5682408.1;Wrak;;;3800.0;"De Duitse stoomtreiler Avance werd in 1940 door de Kriegsmarine overgenomen om in te zetten bij de geplanden invasie van Engeland, operatie Seelöwe. Doordat deze plannen niet doorgingen bleef het vaartuig aan de Vlaamse kust. 
Op 4 november 1943 raakte het een zandbank, strandde en verging.";22.0;5.5;Ja;Neen;Staal;6.4;;1.2;323.6;20/03/2024;7.8;492282    5682411;6.4;7.2;5.0;1989 / 15-113;;;;;;hafenschutzboot FO 12;Duitsland;AVANCE;Kriegsmarine, DE;;;;Eckmanns-Werft, Finkenwerder (Hamburg), DE;5,9 Wk_;Verspreid;WO II;04/11/1943;Treiler;;;;
;;;;;BE-112-250-02;;;;489144.0;5672696.0;Wrak;Vlaamse Hydrografie;26/02/2025;;;;;Neen;;;1.0;;1.2;99.0;26/02/2025;5.5;489144       5672696;1.0;1.5;4.0;;;;;;;tank;;;;In onderzoek;Goed zichtbaar;;;geen;Intact, deels begraven;;;;;;;
;;;;;BE-111-229-01;1934.0;;;464387.0;5671755.2;Wrak;;;1656.0;"Dit wrak betreft mogelijks de N.725 Ronny, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de N.725. 

In de avond van 30 juni 1967 vertrok de N.725 vanuit Nieuwpoot om garnaal te gaan vissen. Een uur na aanvang werd een harde klap op de voorsteven gevoeld. Na enige tijd werd vastgestel dat er water in het schip kwam en dat dit snel steeg. De nabijgelegen N.716 probeerde de N.725 op te slepen, maar deze laatste zonk op ongeveer 2,75 mijl ten noordwesten van de Nieuwpoortbankboei. 
Het wrak B_111_229 bevindt zich nog 2 mijl verder ten noordwesten van deze boei, maar door het goede vertezicht en vlakke zee op 30 juni 1967 kan een inschattingsfout makkelijk gemaakt zijn. ";;;Neen;Neen;Hout;18.3;;;;18/02/2025;;;18.3;;;1994 / 19-126;;;;;;N.725 RONNY;België;38 ANNA, N.725 ANNA, N.725 PRINS ALBERT;Fernand Lemaire, Nieuwpoort;;"Het wrak B_111_229 bevindt zich nog 2 mijl verder ten noordwesten van deze boei, maar door het goede vertezicht en vlakke zee op 30 juni 1967 kan een inschattingsfout makkelijk gemaakt zijn. 
Het wrak betreft de resten van een klein houten vaartuig, grotendeels begraven.
Onderzoek met de Side Scan Sonar op 24 mei 1993 leverde slechts een zwakke echo op.";;A. Hillebrandt, Nieuwe Werfkaai, Oostende;#;Verzand, geen zichtbare resten;Neen;30/06/1967;Vissersboot;1.0;1.0;0.0;
;;10.5;;;BE-122-247-01;1943.0;15.3;22/04/1993;485156.5;5692115.9;Wrak;;;7176.0;"In de avond van 1 maart 1945 voer de Robert L. Vann richting Thames, om uiteindelijk door te varen naar New York, en maakte deel uit van een konvooi van 27 vrachtschepen. De Robert L. Vann bevond zich achteraan toen er zich om 19u29 een zware ontploffing voordeed onder het wateroppervlak vlak bij de stuurboordzijde. Bijna onmiddellijk begon het schip water te maken en te zinken. 
De volledige bemanning kon in veiligheid worden gebracht.";128.0;17.0;Ja;Neen;Staal;16.2;;0.8;305.6;06/11/2020;74.4;"485177.88; 5692121.24";16.2;17.0;28.3;1997 / 05-096;;;;;;SS ROBERT L. VANN;Verenigde Staten;nvt;US Maritime Commission - War Shipping Administration (WSA), Washington, US;;;;New England Shipping Corporation, Portland, US;14,9 Wk_;Enkele fragmenten;WO II;01/03/1945;Vrachtschip;;;;
;;6.5;;;BE-134-254-01;1925.0;24.3;21/04/1993;493767.8;5714243.9;Wrak;;;920.0;"Op 5 maart 1940 had de SS Grutto Londen verlaten. Na de loods te hebben afgezet in de buurt van Gravesend, werd niets meer vernomen van het schip of de 18 opvarenden.
De volgende dag werd een vlot van de Grutto opgemerkt, alsook enkele wrakstukken die sporen vertoonden van een krachtige explosie.
Pas na de oorlog kwam men te weten dat de U-17 de Grutto tot zinken had gebracht door middel van een torpedo die het schip in twee brak.";74.6;10.7;Ja;Neen;Staal;26.9;;;39.9;28/04/2022;49.0;;26.9;;15.0;1997 / 09-097;;;;;;SS GRUTTO;Nederland;nvt;Smit & Van Ommeren, Rotterdam, NL;;"Dit wrak bestaat uit twee delen die in een rechte lijn liggen met een tussenafstand van 55 meter. 
Beide delen betreffen eerder een verspreidingsveld dan een werkelijk wrakdeel. Het grootste is het voorschip.";;C. Van der Giessen & Zonen, Scheepswerf De Hoop, Krimpen Aan den Ijssel, NL;24,0 Wk_;Gebroken;Neen;05/03/1940;Vrachtschip;;;;
;;;;;BE-108-232-01;1944.0;12.4;29/04/1988;467851.9;5665029.2;Wrak;;;1250.0;De N.711 zonk na een aanvaring met O.77 Jeannine op 12 juni 1957.;;;Ja;Neen;Hout;14.6;;;;20/02/2025;;;;14.6;;1996 / 17 -129;;;;;;N.711 ROBERT-CLARA;België;N.20;Renaat Asaert;;dezelfde coördinaten als 108-232-02, het is niet duidelijk welk wrak het precies is;;J. Provoost, Nieuwpoort, BE;#;Plat maar samenhangend op zeebodem;Neen;12/06/1957;Vissersboot;;;;
;;3.7;;;BE-127-304-01;1916.0;6.0;;505004.0;5700591.2;Wrak;;;1147.0;"Op 8 april 1917 bevond G-88 zich in de haven van Zeebrugge. Tegen de avond begon een luchtaanval op de haven. Om schade aan torpedoboten G-88 en V-81 te vermijden, gingen zij voor anker in de Rede van Zeebrugge. 
Om 0u30 werd G-88 plots getroffen door een torpedo, vlak onder de brug. Door het binnenstromende water ontplofte ook de voorste ketel, waardoor het schip nog sneller zonk. Bijna 2 uur nadien brak het schip in 2. Het voorschip verging onmiddellijk op zijn zijde, het achterschip bleef rechtop.";82.2;8.4;Ja;Neen;Staal;8.4;;2.7;77.9;25/03/2025;58.2;504981   5700587;8.4;11.1;7.6;1997 / 05-069;;;;;;torpedoboot G-88 - achterschip;Duitsland;;Keizerlijke Marine, DE;Cultureel erfgoed onder beschermingsmaatregelen;"Het achterschip van G-88 ligt rechtop. 
De bovenbouw en de romp zijn verdwenen. Stoomketels en turbines zijn wel nog herkenbaar.";;Germaniawerft A.G., Kiel, DE;5,8 Wk_;Scheepsvorm goed herkenbaar;WO I;09/04/1917;Torpedoboot;;;;
;;;;;OB-113-250-02;;;;489174.0;5673776.0;Wrak;TER STREEP (VH);;;;;;Neen;Neen;;7.1;;0.4;;16/02/2024;14.0;;7.1;7.5;1.0;2008 / 26-252;;;;;;zuigbuis;;;;;Tijdens het Maritiem Archeologisch erfgoedonderzoek 2006-2007 werd een kleine obstructie vastgesteld door het VIOE. De resultaten van de Side Scan en Multibeam doen vermoeden dat het hier om een zuigbuis betreft. Deze obstructie steekt nauwelijks boven de bodem uit.;;;7,1 Obstn;;;;;0.0;1.0;0.0;
;;;;;BE-124-308_01;1927.0;;;509758.7;5696017.0;Wrak;;;1607.0;"Dit wrak betreft mogelijks de Z.139 Emile, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de Z.139. 

De Z.139 had op 28 juni 1947 de haven van Zeebrugge verlaten om te vissen op het Schooneveld.
Het schip is echter nooit teruggekeerd naar de haven. 
Op 2 juli werd het eerste lijk van de bemanning opgevist.";;;Neen;Neen;Hout;5.0;;;;05/05/2023;;;5.0;;;1969 / 20-159;;;;;;Z.139 EMILE;België;139 ADOLPHINA, 139 YVONNE DECKMIJN, O.139 YVONNE DECKMIJN;René De Paepe, Zeebrugge, BE;;;;J. Borrey, Oostende, BE;#;Verzand, geen zichtbare resten;Neen;28/06/1947;Vissersboot;;;;
;;;;;BE-121-222-01;1955.0;;;456118.0;5689923.0;Wrak;;;5787.0;"Op 19 januari 1974 vaarde de N.74 uit om te gaan vissen nabij de Falls. Om 13u30, op 4 mijl van de Fairy Bank-zuidboei, merkte men de Cypriotische tanker MV Perama op. Deze lag op 500 meter verwijderd, dwars aan bakboord. Door enkele manoeuvres, om elkaar te mijden, raakte de Perama toch de stuurboordzijde van de N.147. Deze begon onmiddellijk te zinken. 
Bij het incident viel één dode.";22.0;5.9;Ja;Neen;Hout;35.0;;;;;;;35.0;;;1994 / 19-126;;;;;;N.147 SUZANNA;België;O.147 SUZANNA;Norbert Vercoutter, Oostduinkerke, BE;;;;A. Loy, Oostende, BE;#;Verzand, geen zichtbare resten;Neen;19/01/1974;Vissersboot;1.0;0.0;0.0;
;;;;;BE-121-239-01;1942.0;22.5;18/08/1986;475998.4;5690524.1;Wrak;;;350.0;"Dit wrak betreft mogelijks LCT 165, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de HMS LCT 165. 

Op 20 september 1946 werd de LCT-165 door de Admiral Blake gesleept van Schotland naar Antwerpen. Ter hoogte van de NF 6-boei moest de sleep worden doorgesneden omdat de weersomstandigheden te slecht werden en gevreesd werd in een ongeklaard mijnenveld terecht te komen. De sleepboot voer Oostende binnen en verwittigde de loodsdienst. 
HMS LCT-165 werd voor het laatst gezien noordoostelijk van de NF 6-boei, met alle navigatielichten aan. Het is waarschijnlijk gezonken door het stormweer, of in het mijnenveld terecht gekomen.
";58.5;9.4;Neen;Neen;Staal;22.0;;4.0;270.4;20/08/2015;55.7;"476016.34; 5690525.79";22.0;26.0;11.5;1997 / 05-069;;;;;;HMS LCT 165;Verenigd Koninkrijk;;Royal Navy, UK;;"Er liggen in dit gebied nog twee ongeïdentificeerde landingsschepen. Het gaat hier waarschijnlijk om de 165, maar dat is niet zeker.
Het wrak ligt omgekeerd.";;Quincy Barge Builder, Quincy, Illinois, US;22,0 Wk_;Intact;WO II;20/09/1946;LCT (Landing Craft, Tanks);0.0;1.0;1.0;
;;3.9;Tijdelijke Vereniging voor Bergingswerken;volledig;BE-124-318-01;1902.0;;;520804.6;5694644.0;Wrak;;;218.0;"In tegenstelling tot andere Vorpostenboote werd Prangenhof pas laat in de oorlog door de Keizerlijke marine gevorderd, op 6 maart 1915.
Het werd gevoegd bij de Bootsabteilung Flandern en had afwisselend Oostende en Zeebrugge als uitvalsbasis.
Op 27 april 1916 is het schip gestrand en vergaan.";36.0;6.9;Ja;Neen;Staal;11.8;;;;13/02/2023;;;11.8;;;2002 / 05-067;;;;;;vorpostenboot FV PRANGENHOF;Duitsland;PG 78 PRANGENHOF, BX 82 PRANGENHOF;Keizerlijke marine, DE;;;29/11/2001;Johannes Carl Tecklenborg AG, Geestesmünde, DE;#;Geborgen;WO I;27/04/1916;Treiler;0.0;1.0;0.0;
;;;;;OB-123-254-01;;16.0;16/05/1994;493194.1;5693089.9;Wrak;;;;;;;Neen;Neen;;17.1;;;358.0;02/05/2024;12.0;"493193.68; 5693084.24";17.1;17.5;0.8;1997 / 05-069;;;;;;staalplaat;;;;;"Deze staalplaat werd gevonden toen men op zoek was naar een verloren anker van MV IJmuiden Maru.
Het zou hier kunnen gaan om een staalplaat die deel uitmaakte van de lading van een wrak dat in de jaren '60 werd geborgen.";;;15,9 Obstn_;;;;;;;;
;;5.3;Ackermans & Van Haaren;kiel;BE-115-251-01;1936.0;8.3;;490479.8;5677771.7;Wrak;;;1589.0;"Op 6 augustus 1940 kreeg sperrbrecher 170 het bevel om zich vanuit Vlissingen naar Oostende te begeven. Samen met M-84 verliet het diezelfde dag nog de haven. Ter hoogte van Zeebrugge werden ze nog vergezeld door V-1514. 
Door de diepgang van 5m had sperrbrecher 170 slechts tot 1uur 's ochtends de tijd om de binnenhaven te bereiken. 
Toen het schip zich op 300m van de Stroombanklichtboei bevond, om 0u51, ontplofte een zware grondmijn aan bakboord, ter hoogte van de voorzijde van de brug. Luiken I en II liepen onder water. Sperrbrecher 170 zonk, maar bleef door de ondiepte grotendeels boven water. Sleepacties kwamen maar traag op gang, en bleken later niet meer nuttig.
";79.2;12.6;Ja;Neen;Staal;8.4;;0.5;41.4;31/01/2024;115.0;490471    5677761;8.4;8.9;23.4;1997 / 05-069;;;;;;sperrbrecher 170;Duitsland;SS MARIA S. MÜLLER;Kriegsmarine, DE;;Onderzoek met de magnetometer toont een zone van 40x20m met begraven resten aan. ;01/01/1959;Flensburger Schiffsbau Gesellschaft, Flensburg, DE;#;Geborgen;WO II;07/08/1942;Mijnenveger;;;;
;;10.6;Ackermans & Van Haaren;15,00m;BE-124-253-01;1943.0;15.0;06/06/1963;492049.6;5694670.6;Wrak;;;7219.0;"De SS Sampa voer op 27 februari 1945 in konvooi van Antwerpen richting de Thames, toen het om 17u12 een mijn raakte in de buurt van boei NF 9. 
De ontploffing brak de rug en blies een deel van de bakboordromp naar buiten. Een relatief groot aantal opvarenden kwam bij de ontploffing om het leven. 
Vijftien minuten na de ontploffing verging de SS Sampa.";134.6;17.4;Ja;Neen;Staal;16.0;;-0.3;118.0;20/04/2018;129.4;"492081.30; 5694668.64";16.0;15.7;25.0;1997 / 05-069;;;;;;SS SAMPA;Verenigd Koninkrijk;SS WILLIAM SMALLWOOD;Ministry of War Transport, London, UK;;;01/09/1962;Bethlehem Shipbuilding Corp. Ltd., Quincy, Massachusetts, USA;14,9 Wk_;Geborgen;WO II;27/02/1945;Vrachtschip;0.0;1.0;1.0;
